,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
5633,MSI,"Motorola Solutions, Inc.",158.18,26856922212.56,,,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/msi,
5638,MSM,"MSC Industrial Direct Company, Inc.",64.89,3606606964.8,,1995.0,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/msm,
6995,MSN,Emerson Radio Corporation,0.6609,13907088.7068,,,Consumer Non-Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/msn,
2312,MSON,"MISONIX, Inc.",12.37,214918668.45,,1992.0,Capital Goods,Medical Specialities,https://old.nasdaq.com/symbol/mson,
2290,MSTR,MicroStrategy Incorporated,163.61,1584755418.97,,1998.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mstr,
2299,MSVB,"Mid-Southern Bancorp, Inc.",12.85,42771199.3,,2018.0,Finance,Savings Institutions,https://old.nasdaq.com/symbol/msvb,
5622,MS^A,Morgan Stanley,23.89,0.0,,,,,https://old.nasdaq.com/symbol/ms^a,
5623,MS^E,Morgan Stanley,28.5,0.0,,,,,https://old.nasdaq.com/symbol/ms^e,
5624,MS^F,Morgan Stanley,28.2,0.0,,,,,https://old.nasdaq.com/symbol/ms^f,
5625,MS^I,Morgan Stanley,28.2983,0.0,,,,,https://old.nasdaq.com/symbol/ms^i,
5626,MS^K,Morgan Stanley,27.96,0.0,,,,,https://old.nasdaq.com/symbol/ms^k,
5627,MS^L,Morgan Stanley,26.37,0.0,,,,,https://old.nasdaq.com/symbol/ms^l,
3924,MT,ArcelorMittal,13.74,15019328267.28,,,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/mt,
7064,MTA,Metalla Royalty & Streaming Ltd.,8.39,303660813.76,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/mta,
5489,MTB,M&T Bank Corporation,102.42,13138442004.06,,,Finance,Major Banks,https://old.nasdaq.com/symbol/mtb,
2351,MTBC,"MTBC, Inc.",9.18,116587955.34,,2014.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mtbc,
2352,MTBCP,"MTBC, Inc.",25.63,0.0,,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mtbcp,
2316,MTC,"MMTec, Inc.",1.02,20471400.0,,2019.0,,,https://old.nasdaq.com/symbol/mtc,
2230,MTCH,"Match Group, Inc.",107.56,27967323541.44,,,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/mtch,
3925,MTCN,ArcelorMittal,34.61,0.0,,2020.0,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/mtcn,
2279,MTCR,"Metacrine, Inc.",10.05,260511336.3,,2020.0,,,https://old.nasdaq.com/symbol/mtcr,
5578,MTD,"Mettler-Toledo International, Inc.",983.62,23578615679.3,,1997.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/mtd,
5533,MTDR,Matador Resources Company,9.02,1053900489.18,,2012.0,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/mtdr,
2322,MTEM,"Molecular Templates, Inc.",12.8,638966617.6,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mtem,
2212,MTEX,"Mannatech, Incorporated",17.2,36141328.0,,,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/mtex,
5591,MTG,MGIC Investment Corporation,9.51,3219833918.43,,1991.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/mtg,
5567,MTH,Meritage Corporation,101.76,3826533889.92,,,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/mth,
5548,MTL,Mechel PAO,1.61,445976974.52,,2004.0,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/mtl,
2231,MTLS,Materialise NV,34.95,618906273.3,17708334.0,2014.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mtls,
5549,MTL^,Mechel PAO,0.47,0.0,,,,,https://old.nasdaq.com/symbol/mtl^,
6698,MTN,"Vail Resorts, Inc.",219.27,8809444802.61,,1997.0,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/mtn,
7061,MTNB,"Matinas Biopharma Holdings, Inc.",0.7961,158323175.0397,,2017.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mtnb,
5568,MTOR,"Meritor, Inc.",22.22,1606269223.68,,,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/mtor,
2294,MTP,Midatech Pharma PLC,2.0,5911248.0,2955624.0,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mtp,
5570,MTR,Mesa Royalty Trust,3.755,6997780.45,,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/mtr,
5534,MTRN,Materion Corporation,51.18,1040091475.5,,,Capital Goods,Industrial Specialties,https://old.nasdaq.com/symbol/mtrn,
2232,MTRX,Matrix Service Company,8.71,230468307.16,,1990.0,Basic Industries,Engineering & Construction,https://old.nasdaq.com/symbol/mtrx,
2353,MTSC,MTS Systems Corporation,22.4,431794092.8,,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/mtsc,
2189,MTSI,"MACOM Technology Solutions Holdings, Inc.",32.79,2193168396.78,,2012.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/mtsi,
2255,MTSL,MER Telemanagement Solutions Ltd.,1.31,5780254.48,,1997.0,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/mtsl,
6828,MTT,Western Asset Municipal Defined Opportunity Trust Inc,20.225,246753797.875,,2009.0,,,https://old.nasdaq.com/symbol/mtt,
5515,MTW,"Manitowoc Company, Inc. (The)",9.12,314832094.56,,,Capital Goods,Construction/Ag Equipment/Trucks,https://old.nasdaq.com/symbol/mtw,
5600,MTX,Minerals Technologies Inc.,50.06,1708022970.96,,1992.0,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/mtx,
5531,MTZ,"MasTec, Inc.",44.79,3306316282.2,,,Basic Industries,Water Supply,https://old.nasdaq.com/symbol/mtz,
2288,MU,"Micron Technology, Inc.",50.98,56638702102.56,,,Technology,Semiconductors,https://old.nasdaq.com/symbol/mu,
4146,MUA,"Blackrock MuniAssets Fund, Inc.",14.15,510967650.2,,1993.0,,,https://old.nasdaq.com/symbol/mua,
4155,MUC,"Blackrock MuniHoldings California Quality Fund,  Inc.",14.34,587975606.22,,1998.0,,,https://old.nasdaq.com/symbol/muc,
4161,MUE,"Blackrock MuniHoldings Quality Fund II, Inc.",12.95,291643829.05,,,,,https://old.nasdaq.com/symbol/mue,
5602,MUFG,Mitsubishi UFJ Financial Group Inc,4.22,54202218585.94,,,Finance,Commercial Banks,https://old.nasdaq.com/symbol/mufg,
4156,MUH,"Blackrock MuniHoldings Fund II, Inc.",14.63,165849805.66,,1998.0,,,https://old.nasdaq.com/symbol/muh,
4145,MUI,Blackrock Muni Intermediate Duration Fund Inc,14.29,547253641.14,,2003.0,,,https://old.nasdaq.com/symbol/mui,
4159,MUJ,"Blackrock MuniHoldings New Jersey Insured Fund, Inc.",13.9,419138723.5,,1998.0,,,https://old.nasdaq.com/symbol/muj,
5645,MUR,Murphy Oil Corporation,10.61,1629681411.25,,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/mur,
4162,MUS,"Blackrock MuniHoldings Quality Fund, Inc.",12.78,166373567.28,,1998.0,,,https://old.nasdaq.com/symbol/mus,
5646,MUSA,Murphy USA Inc.,136.86,3993250578.66,,2013.0,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/musa,
5545,MUX,McEwen Mining Inc.,1.15,470106534.65,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/mux,
2356,MVBF,MVB Financial Corp.,16.68,199574949.0,,,Finance,Major Banks,https://old.nasdaq.com/symbol/mvbf,
5648,MVC,"MVC Capital, Inc.",7.87,139496678.66,,,,,https://old.nasdaq.com/symbol/mvc,
5649,MVCD,"MVC Capital, Inc.",25.33,0.0,,2017.0,,,https://old.nasdaq.com/symbol/mvcd,
5643,MVF,"MuniVest Fund, Inc.",8.67,562131336.57,,,,,https://old.nasdaq.com/symbol/mvf,
2291,MVIS,"Microvision, Inc.",1.67,240240204.7,,1996.0,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/mvis,
5647,MVO,MV Oil Trust,2.5592,29430800.0,,2007.0,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/mvo,
4163,MVT,"Blackrock MuniVest Fund II, Inc.",14.12,301319035.0,,1993.0,,,https://old.nasdaq.com/symbol/mvt,
5642,MWA,Mueller Water Products Inc,11.13,1756489742.7,,2006.0,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/mwa,
2320,MWK,"Mohawk Group Holdings, Inc.",7.94,167695213.76,,2019.0,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/mwk,
5504,MX,MagnaChip Semiconductor Corporation,13.13,461653636.08,,2011.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/mx,
7065,MXC,Mexco Energy Corporation,4.36,8895123.76,,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/mxc,
5579,MXE,"Mexico Equity and Income Fund, Inc. (The)",8.24,42613967.52,,,,,https://old.nasdaq.com/symbol/mxe,
5580,MXF,"Mexico Fund, Inc. (The)",10.51,157704904.24,,,,,https://old.nasdaq.com/symbol/mxf,
2236,MXIM,"Maxim Integrated Products, Inc.",66.94,17871412399.08,,1988.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/mxim,
5539,MXL,"MaxLinear, Inc",23.74,1754854200.28,,2010.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/mxl,
4164,MYC,"Blackrock MuniYield California Fund, Inc.",14.2,304156814.8,,1992.0,,,https://old.nasdaq.com/symbol/myc,
4166,MYD,"Blackrock MuniYield Fund, Inc.",13.56,636231064.2,,1991.0,,,https://old.nasdaq.com/symbol/myd,
5650,MYE,"Myers Industries, Inc.",14.37,514371707.1,,,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/mye,
4167,MYF,Blackrock MuniYield Investment Fund,13.34,182944119.68,,1992.0,,,https://old.nasdaq.com/symbol/myf,
1299,MYFW,"First Western Financial, Inc.",12.47,99158310.03,,2018.0,Finance,Major Banks,https://old.nasdaq.com/symbol/myfw,
